,GAME_ID,MATCHUP
195,0022000097,BOS @ TOR
196,0022000095,NYK @ ATL
197,0022000095,ATL vs. NYK
198,0022000099,DET @ MIL
199,0022000096,MIA vs. OKC
200,0022000104,DEN vs. MIN
201,0022000105,LAC vs. SAS
202,0022000105,SAS @ LAC
203,0022000106,POR vs. CHI
204,0022000102,BKN vs. UTA
205,0022000102,UTA @ BKN
206,0022000103,LAL @ MEM
207,0022000103,MEM vs. LAL
208,0022000104,MIN @ DEN
209,0022000106,CHI @ POR
210,0022000107,IND vs. HOU
211,0022000113,MIL vs. DET
212,0022000113,DET @ MIL
213,0022000117,SAC vs. CHI
214,0022000112,NYK vs. UTA
215,0022000109,PHI vs. WAS
216,0022000117,CHI @ SAC
217,0022000111,MIA vs. BOS
218,0022000111,BOS @ MIA
219,0022000116,LAC @ GSW
220,0022000109,WAS @ PHI
221,0022000116,GSW vs. LAC
222,0022000108,CLE @ ORL
223,0022000108,ORL vs. CLE
224,0022000115,TOR @ PHX
225,0022000115,PHX vs. TOR
226,0022000112,UTA @ NYK
227,0022000114,NOP vs. OKC
228,0022000114,OKC @ NOP
229,0022000110,ATL vs. CHA
230,0022000110,CHA @ ATL
231,0022000107,HOU @ IND
232,0022000121,LAL vs. SAS
233,0022000121,SAS @ LAL
234,0022000122,MIN @ POR
235,0022000122,POR vs. MIN
236,0022000120,DAL @ DEN
237,0022000119,CLE @ MEM
238,0022000119,MEM vs. CLE
239,0022000120,DEN vs. DAL
240,0022000118,PHI @ BKN
241,0022000118,BKN vs. PHI
242,0022000123,PHX @ DET
243,0022000130,GSW vs. LAC
244,0022000128,BKN @ MEM
245,0022000128,MEM vs. BKN
246,0022000131,CHI @ LAL
247,0022000131,LAL vs. CHI
248,0022000132,SAC vs. TOR
249,0022000132,TOR @ SAC
250,0022000127,HOU vs. ORL
251,0022000127,ORL @ HOU
252,0022000129,UTA @ MIL
253,0022000130,LAC @ GSW
254,0022000123,DET vs. PHX
255,0022000124,WAS @ BOS
256,0022000124,BOS vs. WAS
257,0022000129,MIL vs. UTA
258,0022000126,NOP vs. CHA
259,0022000126,CHA @ NOP
260,0022000125,NYK vs. OKC
261,0022000125,OKC @ NYK
262,0022000135,IND vs. PHX
263,0022000138,SAS @ MIN
264,0022000139,DAL vs. ORL
265,0022000133,PHI vs. DEN
266,0022000134,ATL @ CHA
267,0022000140,POR @ SAC
268,0022000138,MIN vs. SAS
269,0022000140,SAC vs. POR
270,0022000139,ORL @ DAL
271,0022000137,MIL vs. CLE
272,0022000137,CLE @ MIL
273,0022000133,DEN @ PHI
274,0022000134,CHA vs. ATL
275,0022000136,WAS vs. MIA
276,0022000135,PHX @ IND
277,0022000136,MIA @ WAS
278,0022000143,BKN vs. OKC
279,0022000148,TOR @ GSW
280,0022000146,LAL @ HOU
281,0022000146,HOU vs. LAL
282,0022000147,SAS @ MIN
283,0022000148,GSW vs. TOR
284,0022000142,CHI @ LAC
285,0022000141,DET vs. UTA
286,0022000142,LAC vs. CHI
287,0022000141,UTA @ DET
288,0022000144,NYK vs. DEN
289,0022000143,OKC @ BKN
290,0022000144,DEN @ NYK
291,0022000147,MIN vs. SAS
292,0022000152,PHX @ WAS
293,0022000151,MIL @ ORL
294,0022000153,ATL vs. PHI
295,0022000155,TOR @ POR
296,0022000150,MEM @ CLE
297,0022000149,NYK @ CHA
298,0022000152,WAS vs. PHX
299,0022000155,POR vs. TOR
300,0022000156,SAC vs. IND
301,0022000151,ORL vs. MIL
302,0022000149,CHA vs. NYK
303,0022000156,IND @ SAC
304,0022000153,PHI @ ATL
305,0022000150,CLE vs. MEM
306,0022000158,DEN @ BKN
307,0022000162,SAS @ OKC
308,0022000162,OKC vs. SAS
